,Title,Year Released,Rated,Rotten Tomato,Meta Score,Plot Sentiment,Plot,Genre
0,Bad Boys,1995,R,42,41,-0.8591,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,"Action, Comedy, Crime"
1,Independence Day,1996,PG-13,62,59,0.128,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","Action, Adventure, Sci-Fi"
2,Men in Black,1997,PG-13,92,71,0.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,"Adventure, Comedy, Family"
3,Enemy of the State,1998,R,71,67,-0.4939,A lawyer becomes a target by a corrupt politician and his NSA goons when he accidentally receives key evidence to a serious politically motivated crime.,"Action, Crime, Mystery"
4,Wild Wild West,1999,PG-13,17,38,0.872,The two best hired guns in the West must save President Grant from the clutches of a nineteenth-century inventor-villain.,"Action, Comedy, Sci-Fi"
5,The Legend of Bagger Vance,2000,PG-13,43,47,0.4019,A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,"Drama, Fantasy, Sport"
6,Ali,2001,R,67,65,0.4588,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.","Biography, Drama, Sport"
7,Men in Black II,2002,PG-13,39,49,0.5994,Agent J needs help so he is sent to find Agent K and restore his memory.,"Action, Adventure, Comedy"
8,Bad Boys II,2003,R,23,38,0.5994,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,"Action, Comedy, Crime"
9,Shark Tale,2004,PG,35,48,-0.7096,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.","Animation, Adventure, Comedy"
10,Jersey Girl,2004,PG-13,41,43,-0.296,"After his career is sidelined by an unexpected tragedy and a personal blow-up, a single man must take care of his precocious daughter.","Comedy, Drama, Romance"
11,"I, Robot",2004,PG-13,59,59,-0.7845,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.","Action, Crime, Drama"
12,Hitch,2005,PG-13,68,58,0.7964,"While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.","Comedy, Romance"
13,The Pursuit of Happyness,2006,PG-13,67,64,-0.2023,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Biography, Drama"
14,I Am Legend,2007,PG-13,69,65,-0.5423,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.","Drama, Horror, Sci-Fi"
15,Hancock,2008,PG-13,41,49,-0.128,Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"Action, Crime, Drama"
16,Seven Pounds,2008,PG-13,26,36,0.0,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,"Drama, Romance"
17,Men in Black 3,2012,PG-13,68,58,0.25,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,"Action, Adventure, Comedy"
18,Anchorman 2: The Legend Continues,2013,PG-13,75,61,0.0,"With the 1970s behind him, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",Comedy
19,After Earth,2013,PG-13,11,33,-0.6124,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.","Action, Adventure, Sci-Fi"
20,Paddington,2014,PG,98,77,-0.0258,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.","Animation, Adventure, Comedy"
21,Winter's Tale,2014,PG-13,13,31,0.7269,"A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.","Drama, Fantasy, Mystery"
22,Focus,2015,R,56,56,0.4404,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","Comedy, Crime, Drama"
23,Concussion,2015,PG-13,60,55,-0.0258,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.","Biography, Drama, Sport"
24,Suicide Squad,2016,PG-13,26,40,-0.024,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"Action, Adventure, Fantasy"
